begrip,definitie,categorie,organisatorische_context,juridische_context,wettelijke_basis
grondslagsoort,Typering van een grondslag,proces,,,
meest betrouwbare identiteitsgegevens,De identiteitsgegevens die met de hoogste waarschijnlijkheid een correcte weergave zijn van de identiteit van een natuurlijk persoon.,proces,,,
traject,de gang van een individuele zaak resp. verdachte/veroordeelde door de keten naar aanleiding van een specifiek delict (of verdenking),proces,,,
biometrie,"Het bepalen van individualiserende kenmerken zoals fysieke kenmerken, fysiologische kenmerken of gedragskenmerken van een persoon middels een specifieke technische verwerking",proces,,,
identiteitsbehandeling,Het geheel van activiteiten en voorzieningen in de strafrechtketen om de juiste en rechtmatige verwerking van identiteitsgegevens van verdachten en veroordeelden te borgen.,proces,,,
identiteitskenmerk,Eigenschap van een persoon die helpt om deze persoon te onderscheiden van anderen.,proces,,,
identiteitsgegeven,De beschrijving van een identiteitskenmerk,proces,,,
grondslag,Verdenking of veroordeling die de strafrechtketen het recht geeft identiteitsgegevens in de strafrechtketen te verwerken,proces,,,
Strafrechtketennummer (SKN),het nummer zoals bedoeld in art. 27b lid 1 WvSv waaronder verdachten en veroordeelden in de strafrechtketen en de SKDB uniek worden aangeduid,proces,,,
strafrechtproces,"het proces van toepassing van het strafrecht, bestaande uit de stappen opsporen, vervolgen, berechten en tenuitvoerleggen",proces,,,
vaststellingswijze,De methode gebruikt bij de inwinning en verificatie van een identiteitskenmerk,proces,,,
verifiëren,Het vergelijken van de ingewonnen identiteitsgegevens van een persoon met een andere set identiteitsgegevens in een 1-op-1-vergelijking.,proces,,,
digitaal identiteitsbewijs,Een door een bevoegde instantie aan een specifieke persoon uitgereikt digitaal identiteitsmiddel waarmee die persoon tegenover derden zijn identiteit kan aantonen.,proces,,,
authenticeren,"De echtheid, oorsprong of rechtsgeldigheid van een identiteitsbewijs vaststellen",proces,,,
identiteitsvaststelling,De beslissing van een ambtenaar dat een set ingewonnen en gecontroleerde identiteitsgegevens bij een persoon hoort.,proces,,,
registreren,Vastleggen van gegevens omtrent een persoon in een bestand (register),proces,,,
identiteit vaststellen,"Het proces van inwinnen van identiteitskenmerken, het controleren van deze kenmerken middels bevraging van de persoon, vergelijking met identiteitsmiddelen en/of registerbevraging, eindigend met een identiteitsvaststelling van deze persoon.",proces,,,
VaststellingswijzeIdentificatie,Unieke Code voor de vaststellingswijze,proces,,,
identificeren,De activiteit waarbij de identiteit van een persoon wordt vastgesteld door middel van vergelijking met meerdere sets van identiteitsgegevens uit een register (één-op-veel-vergelijking),proces,,,
gekwalificeerd zijn van een identiteitsmiddel (voor een zeker doel),Een middel is gekwalificeerd voor een doel wanneer regelgeving bepaalt dat het middel voor dit doel geschikt is.,proces,,,
digitaal identiteitsmiddel,Een identiteitsmiddel voor toegang tot digitale diensten dat geheel of grotendeels is gebaseerd op digitale zekerheden.,proces,,,
biografisch identiteitskenmerk,Tekstuele gegevens die een persoon (zoveel als mogelijk) uniek beschrijven.,proces,,,
persoonsregistratie,De vastlegging van gegevens van een persoon in een register,proces,,,
inwinning identiteitskenmerken,Het proces van het vaststellen van identiteitskenmerken van een persoon en de weergave hiervan als identiteitsgegevens.,proces,,,
strafrechtelijke identiteit,De verbinding naar een natuurlijk persoon in de informatievoorziening van de strafrechtketen,proces,,,
persoon,Een mens van vlees en bloed,proces,,,
biometrisch identiteitskenmerk,Een identiteitskenmerk dat door middel van biometrie wordt vastgesteld.,proces,,,
identiteit bepalen,Het vaststellen van de identiteit van een persoon zonder voorgaande verwachting van de identiteit.,proces,,,
identiteit,Een set van identiteitskenmerken die een persoon (zoveel als mogelijk) uniek maken en onderscheiden van anderen.,proces,,,
identiteitsmiddel,Ieder middel dat aanwijzing kan geven over de identiteit van een persoon,proces,,,
Strafrechtketendatabank,het centrale register van de identiteitsgegevens van verdachten en veroordeelden in de strafrechtsketen zoals bedoeld in art. 27b lid 4 WvSv,proces,,,
identiteitsbewijs,Een door een bevoegde instantie aan een specifieke persoon uitgereikt identiteitsmiddel waarmee die persoon tegenover derden zijn identiteit kan aantonen.,proces,,,
identiteit verifiëren en verrijken,Proces bestaande uit verificatie en waar mogelijk aanvullen van identiteitskenmerken.,proces,,,
identiteitsonderzoek,Onderzoek door aangewezen expertisecentrum naar de identiteit van een natuurlijk persoon die onbekend of onzeker is.,proces,,,
identiteitsvaststellingsID,Een in de hele strafrechtketen unieke sleutel van een identiteitsvaststelling,proces,,,
Strafrechtketen,De verschillende organisaties die samenwerken in de uitvoering van het strafrechtproces.,proces,,,
